Name,Location,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,offers_dining,avg_din_rate
Agarlico Cafe,Mansarovar,Quick Bites ,Fast Food,400,yes,no,yes,3.8
Agarwal Caterers,Vaishali Nagar,"Sweet Shop, Quick Bites ","Mithai, North Indian, South Indian, Street Food, Chinese",500,yes,no,yes,4.3
Agarwal Fast Food & Juice,Vaishali Nagar,Quick Bites ,"South Indian, Fast Food, Beverages",200,no,no,yes,3.4
Agarwal Pavitra Bhojnalya,Pink City,Bhojanalya ,"North Indian, Rajasthani",350,yes,no,yes,2.8
Airport Cafe,Sanganer,Quick Bites ,"North Indian, Fast Food",300,no,no,yes,3.5
Ajay Juice Center And Fast Food,Mansarovar,"Beverage Shop, Quick Bites ","Beverages, Fast Food",300,yes,no,yes,3.4
Al Kareem Hotel,Jhotwara,Quick Bites ,Mughlai,600,no,no,yes,3.0
Al Madina Hotel,Pink City,Quick Bites ,"North Indian, Fast Food",300,no,no,yes,3.1
Al Mohammadi,Mansarovar,Quick Bites ,North Indian,400,no,no,yes,3.5
Al- Mujjammil Non-Veg Hotel,Pink City,Quick Bites ,North Indian,400,no,no,yes,3.2
Al Noorani Chicken Biryani,Jhotwara,Quick Bites ,"Biryani, North Indian",200,no,no,yes,3.6
Al Umar Take Away & Restaurant,Adarsh Nagar,Quick Bites ,"North Indian, Mughlai",450,no,no,yes,3.9
Al-Habib Hotel,Pink City,Quick Bites ,"North Indian, Hyderabadi",500,no,no,yes,3.5
Ali Chicken Centre,Pink City,Quick Bites ,North Indian,350,no,no,yes,4.2
Ali Fresh Chicken,Tonk Phatak,Quick Bites ,Hyderabadi,500,no,no,yes,3.4
Alibaba 40 Chor,Malviya Nagar,Quick Bites ,North Indian,350,no,no,yes,2.4
Al-Lazeez Chicken,Sanganer,Quick Bites ,"North Indian, Fast Food",150,no,no,yes,3.2
Al-Naimat,Pink City,Quick Bites ,"North Indian, Biryani",300,no,no,yes,3.5
Altaf Hotel,Malviya Nagar,Quick Bites ,North Indian,350,no,no,yes,3.3
Amar Punjabi Dhaba,Pink City,Quick Bites ,North Indian,300,yes,no,yes,3.4
Amar Punjabi Tadka Dhaba,Mansarovar,Dhaba ,North Indian,200,yes,no,yes,4.0
Amar Punjabi Tadka Dhaba,Raja Park,Dhaba ,North Indian,200,no,no,yes,3.2
Amarsariya,Mansarovar,Casual Dining ,North Indian,600,no,no,yes,3.2
Ambarsariya,Shyam Nagar,Quick Bites ,North Indian,300,no,no,yes,3.8
Ambarsariya Da Dhaba,Sitapur,Quick Bites ,North Indian,350,yes,no,yes,3.4
Amer Haveli Restaurant & Bar,Amer,"Casual Dining, Bar ","North Indian, Finger Food","1,500",no,yes,yes,3.5
Amritsar House,Malviya Nagar,Casual Dining ,"North Indian, Chinese, Mughlai, Fast Food, Biryani","1,300",no,yes,yes,4.1
Anarkali Food Truck,Pratap Nagar,Food Truck ,"North Indian, Chinese",200,no,no,yes,3.2
Andewalaz,Adarsh Nagar,Food Court ,Fast Food,300,no,no,yes,2.8
Andewalaz,Gopalpura,Quick Bites ,Fast Food,300,no,no,yes,3.7
Andhra Vilas - South Indian Foods,Pratap Nagar,Quick Bites ,"South Indian, Andhra",350,no,no,yes,3.6
Anna Madarasi,Jagatpura,Quick Bites ,South Indian,300,no,no,yes,3.3
Annapurna Pavitra Bhojnalya,Mansarovar,Quick Bites ,"North Indian, Rajasthani",300,yes,no,yes,3.4
Annapurna Thali House,Malviya Nagar,Casual Dining ,"North Indian, Fast Food",500,no,no,yes,2.8
Annpurna Pavitra Bhojnalaya,Agra Road,Quick Bites ,"Rajasthani, North Indian",300,yes,no,yes,2.6
Anshika Restaurant,Malviya Nagar,Quick Bites ,North Indian,200,yes,no,yes,3.2
A-One Pavitra Bhojnalaya,MI Road,Quick Bites ,North Indian,300,yes,no,yes,3.5
Apni Rasoi Dhaba,Malviya Nagar,Quick Bites ,"North Indian, Street Food",200,yes,no,yes,3.3
Apple Pie Cafe & Shakes,Malviya Nagar,"Beverage Shop, Quick Bites ","Beverages, Fast Food",200,yes,no,yes,3.3
Apsara Ice Creams,C Scheme,Dessert Parlor ,"Ice Cream, Desserts",200,yes,no,yes,4.2
Arbab,Durgapura,"Casual Dining, Bar ","Fast Food, Italian, Continental, Chinese",800,no,yes,yes,3.9
Area 11 Restro & Bar,Mansarovar,Lounge ,"Finger Food, North Indian",900,no,no,yes,3.6
ARHAM,Ajmer Highway,"Sweet Shop, Casual Dining ","Mithai, North Indian, Chinese, South Indian, Continental",500,yes,no,yes,4.0
Aromocha,Gopalpura,CAFÉ ,"Cafe, Fast Food, Coffee",600,yes,no,yes,4.2
Art Of Delicious,Malviya Nagar,Casual Dining ,"North Indian, Rajasthani",500,yes,no,yes,3.6
August House,Vaishali Nagar,CAFÉ ,"Cafe, Italian, Fast Food, Continental, Lebanese",850,yes,no,yes,4.0
B Bro's Cafe & Restaurant,Jagatpura,Quick Bites ,"North Indian, Fast Food, Chinese",150,yes,no,yes,3.2
Batras Tasty Room,Jagatpura,Quick Bites ,North Indian,150,yes,no,yes,3.5
BBQ Takeaway The Kebab Shop,Jhotwara,Quick Bites ,"North Indian, Mughlai",200,no,no,yes,2.9
Belgium's Waffle Station,Sodala,"Dessert Parlor, Quick Bites ","Desserts, Fast Food, Beverages",500,yes,no,yes,4.0
Belgium's Waffle Station,Malviya Nagar,"Dessert Parlor, Quick Bites ","Desserts, Fast Food, Beverages",500,no,no,yes,3.6
Bell Pepper Pizza,Jhotwara,Quick Bites ,"Chinese, Italian",400,no,no,yes,3.9
Bento - Meals by Big Slick,Malviya Nagar,Quick Bites ,"Mexican, Asian, Chinese, Italian",500,no,no,yes,3.6
Bento - Meals by Big Slick,Tonk Phatak,"Quick Bites, Quick Bites ","Chinese, Italian, Mexican, Asian, Beverages",500,no,no,yes,3.6
Between The Brews,Gopalpura,CAFÉ ,"Cafe, North Indian",800,yes,no,yes,4.0
Bhabhi Ki Rasoi,Lal Kothi,Quick Bites ,North Indian,250,no,no,yes,3.8
Bhai Ka Dhaba,Lal Kothi,Dhaba ,North Indian,400,no,no,yes,2.5
Bharat Bits N Bites,C Scheme,Quick Bites ,"Chinese, Street Food, Fast Food",350,no,no,yes,3.8
Bharia's Veg Restaurant,Gopalpura,Quick Bites ,"North Indian, Fast Food, Beverages",400,yes,no,yes,3.3
Bharkhadevi Ice Cream,Tonk Road,"Dessert Parlor, Beverage Shop ","Ice Cream, Desserts, Beverages",200,yes,no,yes,3.1
Bhavya Govindam,Jawahar Nagar,Quick Bites ,"North Indian, Chinese",350,yes,no,yes,2.9
Bhaya Ji Juice Parlour,Malviya Nagar,Beverage Shop ,"Juices, Beverages",150,no,no,yes,2.7
Bhaya Ji Restaurant,Malviya Nagar,Quick Bites ,North Indian,400,yes,no,yes,3.3
Bhaya Ka Vaishno Dhaba,Pink City,Dhaba ,North Indian,150,yes,no,yes,3.5
Bhookh Adda,C Scheme,Quick Bites ,"North Indian, Chinese, Fast Food, Beverages",500,yes,no,yes,3.2
Big Daddy's,C Scheme,Quick Bites ,"Fast Food, Beverages",500,yes,no,yes,3.7
Big Slick,C Scheme,Quick Bites ,"Burger, Fast Food, Beverages",600,no,no,yes,4.1
Bija Rabdi Bhandar,Shyam Nagar,Quick Bites ,North Indian,200,yes,no,yes,3.1
Bikaner Bhojnalaya,Sindhi Camp,Bhojanalya ,North Indian,450,yes,no,yes,3.1
Bikaneri Chatkara,Gopalpura,Quick Bites ,North Indian,150,yes,no,yes,3.6
Bikanervala,Durgapura,"Sweet Shop, Quick Bites ","Mithai, North Indian, South Indian, Chinese, Fast Food, Beverages",500,yes,no,yes,3.8
Bilal Hotel,Pink City,Quick Bites ,North Indian,150,no,no,yes,3.2
Billu's Cafe,Malviya Nagar,Quick Bites ,"South Indian, Chinese, Fast Food",300,yes,no,yes,3.7
Birajo Restaurant,Vaishali Nagar,Casual Dining ,"North Indian, South Indian, Fast Food, Chinese",700,no,no,yes,3.8
Birthday Point,Vaishali Nagar,Quick Bites ,"Fast Food, Bakery",350,no,no,yes,3.5
Biryani Blues,Malviya Nagar,Food Court ,"Biryani, Hyderabadi, Fast Food, Desserts, Beverages, Kebab",700,no,no,yes,3.8
Biryani By Kcco,Vaishali Nagar,Casual Dining ,"Biryani, North Indian",650,no,no,yes,3.5
Biryani By Kilo,Vaishali Nagar,Casual Dining ,"Biryani, Mughlai, Kebab, Hyderabadi",800,no,no,yes,3.9
Biryani By Masaalchis,Vaishali Nagar,Quick Bites ,"North Indian, Mughlai, Lucknowi",900,no,no,yes,3.9
Biryani Farm,Chitrakoot,Quick Bites ,"North Indian, Mughlai, Biryani",600,no,no,yes,3.9
Biryani House,Shyam Nagar,Quick Bites ,"Biryani, North Indian, Mughlai",400,no,no,yes,3.2
Biryani Turnovers,Raja Park,Casual Dining ,"Biryani, Hyderabadi",600,no,no,yes,4.2
Bismillah Hotel,Sindhi Camp,Quick Bites ,"North Indian, Mughlai",450,no,no,yes,4.1
Bistro Restaurant,Raja Park,Casual Dining ,"North Indian, Chinese, South Indian, Fast Food",700,yes,no,yes,4.0
Bits 'n' Bites,Pink City,Quick Bites ,"Chinese, Fast Food",300,yes,no,yes,3.6
Black Salt,Durgapura,Casual Dining ,"North Indian, Chinese, South Indian",600,yes,no,yes,3.9
Blue Ice,Bani Park,Casual Dining ,"North Indian, Chinese",800,no,yes,yes,2.8
Blue Tokai Coffee Roasters,C Scheme,CAFÉ ,"Cafe, Coffee",900,no,no,yes,4.1
Bombay Chowpatty,Pink City,Quick Bites ,"Street Food, Fast Food, South Indian",400,yes,no,yes,3.6
Bombaye House,Malviya Nagar,"CAFÉ, Casual Dining ","Cafe, Chinese, Street Food, Momos, South Indian, Beverages",500,yes,no,yes,4.3
Bonana,C Scheme,CAFÉ ,"Cafe, Pizza",600,yes,no,yes,4.0
Bonsaaii,Pink City,Quick Bites ,"Chinese, Fast Food",650,no,no,yes,4.0
Boti Kebab,Jagatpura,Quick Bites ,"North Indian, Mughlai",500,no,no,yes,3.6
Bread Darbar,Jhotwara,"Bakery, Quick Bites ","Bakery, Fast Food",200,yes,no,yes,3.3
Brijwasi Faluda Kesar Kulfi,MI Road,"Dessert Parlor, Beverage Shop ","Ice Cream, Beverages",200,yes,no,yes,3.7
Brijwasi Faluda Kesar Kulfi,Adarsh Nagar,Dessert Parlor ,"Ice Cream, Desserts, Beverages",200,no,no,yes,3.8
Brown Bites,C Scheme,"CAFÉ, Bakery ","Cafe, Bakery",400,yes,no,yes,3.8
Brown Bites,Vaishali Nagar,"CAFÉ, Bakery ","Cafe, Bakery, North Indian",400,no,no,yes,3.7
Brown Sugar - Restaurant Cafe Bakery,C Scheme,"CAFÉ, Quick Bites ","Cafe, Italian, Fast Food, Beverages",600,yes,no,yes,4.4
"Brown Sugar - Restaurant, Cafe, Bakery",Vaishali Nagar,CAFÉ ,"Cafe, Continental, North Indian, Italian, Beverages",600,yes,no,yes,4.4
Brown Sugar Bistro,Gopalpura,Bakery ,"Bakery, Fast Food, Beverages",400,yes,no,yes,3.7
Bua Ji Ki Rasoi,Ajmer Highway,Casual Dining ,"North Indian, Chinese",700,yes,no,yes,3.5
Buddy's Cafe,Sodala,CAFÉ ,"Cafe, Fast Food, North Indian, Desserts",650,yes,no,yes,3.8
Buffet House Restaurant,Jawahar Nagar,Casual Dining ,"North Indian, South Indian, Chinese, Fast Food",700,yes,no,yes,3.7
Bunty Daa Dhaba,Tonk Phatak,Dhaba ,North Indian,250,yes,no,yes,3.0
Burger Bae,Raja Park,Quick Bites ,"Burger, Fast Food",400,no,no,yes,3.8
Burger Express,Vidhyadhar Nagar,Quick Bites ,Burger,300,no,no,yes,3.0
Burger Farm,C Scheme,Quick Bites ,"Burger, Fast Food, Beverages",400,no,no,yes,4.3
Burger Farm,Vaishali Nagar,Quick Bites ,"Burger, Fast Food, Beverages",400,no,no,yes,4.1
Burger Farm,Mansarovar,Quick Bites ,"Burger, Fast Food, Beverages",400,no,no,yes,4.2
Burger Farm,Vidhyadhar Nagar,Quick Bites ,"Burger, Fast Food, Beverages",400,no,no,yes,4.1
Burger Farm,Pratap Nagar,Quick Bites ,"Burger, Fast Food, Beverages",400,no,no,yes,3.9
Burger Farm Express,Malviya Nagar,Quick Bites ,"Burger, Fast Food, Beverages",400,no,no,yes,4.0
Burger House,Pink City,Quick Bites ,"Burger, Fast Food",400,no,no,yes,3.7
Burger House,Mansarovar,Quick Bites ,"Fast Food, North Indian",400,no,no,yes,3.6
Burger King,Jhotwara,Quick Bites ,"Burger, Fast Food, Beverages",500,no,no,yes,4.1
Burger King,Malviya Nagar,Quick Bites ,"Burger, Fast Food, Beverages",500,no,no,yes,4.1
Burger King,Vaishali Nagar,Quick Bites ,"Burger, Fast Food, Beverages",500,no,no,yes,4.0
Burger King,Adarsh Nagar,Quick Bites ,"Burger, Fast Food, Beverages",500,no,no,yes,3.4
Burger King,Malviya Nagar,Quick Bites ,"Burger, Fast Food, Beverages",500,no,no,yes,3.8
Burger Love,Chitrakoot,Quick Bites ,"Burger, Fast Food, Beverages",400,no,no,yes,3.9
Burger N Beans,Mansarovar,Quick Bites ,"Fast Food, Burger",300,no,no,yes,3.7
Burger Singh - Big Punjabi Burgers,MI Road,Quick Bites ,"Burger, Fast Food",300,no,no,yes,3.0
Burger Singh - Big Punjabi Burgers,Mansarovar,Quick Bites ,"Burger, Fast Food",300,no,no,yes,3.5
Burgzz Bee,Raja Park,Quick Bites ,"Burger, Fast Food, Beverages",300,no,no,yes,4.0
Burpy's,Ajmer Highway,Quick Bites ,"North Indian, Fast Food",150,no,no,yes,3.8
Burrps Cafe And Bakery,Mansarovar,"Quick Bites, Bakery ","Bakery, Fast Food",250,yes,no,yes,3.5
CAFÉ Bae,Bais Godam,"CAFÉ, Casual Dining ","Cafe, Continental, Thai","1,200",no,yes,yes,4.7
CAFÉ Culture Shock,Raja Park,CAFÉ ,"Cafe, Chinese, Fast Food, Beverages",400,no,no,yes,3.8
Cafe 2 Minutes,Malviya Nagar,Quick Bites ,"Fast Food, Beverages",400,no,no,yes,3.2
Cafe 48,Malviya Nagar,CAFÉ ,Cafe,400,yes,no,yes,3.8
Cafe 8 P.M.,Malviya Nagar,CAFÉ ,"Cafe, Fast Food",300,yes,no,yes,3.0
Cafe 99,Lal Kothi,Casual Dining ,"North Indian, South Indian, Chinese, Beverages",350,yes,no,yes,3.8
Cafe 99,Gopalpura,Casual Dining ,"Fast Food, South Indian, North Indian, Chinese",400,yes,no,yes,3.7
Cafe Blue Flame (CBF),Vidhyadhar Nagar,Quick Bites ,"Rolls, Fast Food, North Indian, Chinese, Mughlai, Momos, Beverages",600,no,no,yes,3.5
Cafe Choco De-Licious,Durgapura,CAFÉ ,Cafe,400,yes,no,yes,3.5
Cafe Coffee Connection,Mansarovar,CAFÉ ,Cafe,400,yes,no,yes,3.6
Cafe Coffee Day,Bais Godam,CAFÉ ,"Cafe, Beverages, Sandwich, Fast Food, Desserts",700,no,no,yes,3.2
Cafe Coffee Day,Bani Park,CAFÉ ,"Cafe, Beverages, Sandwich, Fast Food, Desserts",700,no,no,yes,2.6
Cafe Coffee Day,Vidhyadhar Nagar,CAFÉ ,"Cafe, Beverages, Sandwich, Fast Food, Desserts",700,no,no,yes,2.7
Cafe Coffee Day,Raja Park,CAFÉ ,"Cafe, Beverages, Sandwich, Fast Food, Desserts",700,no,no,yes,2.6
Cafe Coffee Day,Vaishali Nagar,CAFÉ ,"Cafe, Beverages, Sandwich, Fast Food, Desserts",700,no,no,yes,2.4
Cafe Coffee Day,Mansarovar,CAFÉ ,"Cafe, Beverages, Sandwich, Fast Food, Desserts",700,no,no,yes,2.4
Cafe Craft,Achrol,Casual Dining ,"Continental, Italian, North Indian",900,no,no,yes,4.0
Cafe De Kalinga,Mansarovar,Quick Bites ,"Chinese, South Indian",400,no,no,yes,3.4
Cafe Hungry Birds,Malviya Nagar,CAFÉ ,"Cafe, Italian, Fast Food, North Indian, Chinese",600,yes,no,yes,3.9
Cafe Kebabs,MI Road,Casual Dining ,"North Indian, Fast Food, Chinese",850,no,no,yes,4.0
Cafe LazyMojo,Malviya Nagar,"CAFÉ, Casual Dining ","Cafe, Italian, Continental",800,no,no,yes,4.5
Cafe Pubg,Malviya Nagar,CAFÉ ,"Cafe, Chinese",200,yes,no,yes,3.3
Cafe Recharge Tummy,Pratap Nagar,Quick Bites ,"Fast Food, Pizza",350,yes,no,yes,3.8
Cafe Shafe,Vidhyadhar Nagar,Quick Bites ,"Fast Food, Beverages",300,yes,no,yes,2.7
Cafistro - The Veg Cafe,Malviya Nagar,CAFÉ ,"Cafe, North Indian, South Indian, Beverages",700,yes,no,yes,3.2
Cake & Bake,Vaishali Nagar,Bakery ,Bakery,150,no,no,yes,3.6
Cake & Bake,Pratap Nagar,Bakery ,Bakery,450,no,no,yes,3.6
Cake & Pizza Hut,Amer Road,Quick Bites ,Fast Food,200,yes,no,yes,3.3
Cake Adda,Khatipura Road,Bakery ,Bakery,250,yes,no,yes,3.9
Cake Adda,Sodala,Bakery ,Bakery,100,yes,no,yes,3.8
Cake Bank Bakery,Vidhyadhar Nagar,"Bakery, Quick Bites ","Bakery, Fast Food, Beverages",400,yes,no,yes,2.8
Cake Bazzar,Shyam Nagar,"Bakery, Quick Bites ","Bakery, Fast Food",150,no,no,yes,3.7
Cake Corner,Vaishali Nagar,Bakery ,Bakery,250,yes,no,yes,4.1
Cake Corner,Malviya Nagar,Bakery ,Bakery,250,yes,no,yes,4.2
Cake Corner,Pratap Nagar,Bakery ,"Bakery, Desserts",200,yes,no,yes,4.0
Cake Corner,Sodala,Bakery ,Bakery,250,yes,no,yes,3.8
Cake Corner,Raja Park,Bakery ,Bakery,250,yes,no,yes,3.7
Cake Culture,Durgapura,Bakery ,Bakery,200,no,no,yes,4.0
Cake Factory,Vaishali Nagar,Bakery ,"Bakery, Desserts",200,yes,no,yes,3.9
Cake Hut,Sikar Road,Quick Bites ,"Fast Food, Beverages",350,yes,no,yes,3.6
Cake Junction,Sodala,Bakery ,"Bakery, Desserts",200,yes,no,yes,3.9
Cake Mania,Sodala,Bakery ,Bakery,400,no,no,yes,4.0
Cake Mania,Shastri Nagar,Bakery ,Bakery,400,no,no,yes,3.9
Cake Mart,Mansarovar,Bakery ,Bakery,500,no,no,yes,3.8
Cake Me,Shyam Nagar,Bakery ,"Desserts, Bakery",350,no,no,yes,3.9
Cake N Petals,Raja Park,Bakery ,Bakery,250,yes,no,yes,3.4
Cake Plaza,Bani Park,Bakery ,"Bakery, Fast Food, Beverages",200,no,no,yes,3.9
Cake Point,Vaishali Nagar,Bakery ,Bakery,200,yes,no,yes,3.9
Cake Studio,Malviya Nagar,Bakery ,"Bakery, Desserts",200,yes,no,yes,4.0
Cake Walas,Raja Park,Bakery ,Bakery,250,yes,no,yes,3.6
Cake World,Gopalpura,"Bakery, Quick Bites ","Bakery, Fast Food",250,yes,no,yes,3.2
Candy Crust Bakery & Fast Food,Vidhyadhar Nagar,"Bakery, Quick Bites ","Bakery, Street Food, Fast Food, Chinese",300,no,no,yes,3.4
Captain Tadka,Vaishali Nagar,Quick Bites ,"North Indian, Fast Food",300,yes,no,yes,3.5
Carrots and Cabbages-The Orion,Bani Park,Casual Dining ,"Chinese, North Indian, Italian, Mexican",500,no,no,yes,3.9
Celebration Restaurant,Malviya Nagar,Casual Dining ,"North Indian, Mexican, Chinese",650,yes,no,yes,3.8
Central Perk,Mansarovar,Quick Bites ,Fast Food,250,no,no,yes,3.9
Chaat Bazaar,Pratap Nagar,Quick Bites ,"South Indian, North Indian, Chinese",350,yes,no,yes,3.5
Chaat Ka Chauraha,Sikar Road,Quick Bites ,"Street Food, Fast Food, South Indian, Chinese, Beverages",150,yes,no,yes,3.9
Chai Haus,Raja Park,Quick Bites ,"Beverages, Fast Food",250,yes,no,yes,3.7
Chai Ho Jaye,Raja Park,CAFÉ ,"Cafe, Fast Food",500,no,no,yes,3.5
Chai Republic,Malviya Nagar,CAFÉ ,"Cafe, Fast Food, Beverages",600,yes,no,yes,3.7
Chai Sutta Bar,Malviya Nagar,Quick Bites ,"Tea, Sandwich, Fast Food, Beverages",150,yes,no,yes,3.5
Chai Thiya Cafe,Raja Park,Quick Bites ,"Tea, Beverages, Fast Food, Chinese",350,no,no,yes,3.5
Chai-Mate,Vidhyadhar Nagar,Quick Bites ,"Fast Food, Beverages",350,yes,no,yes,3.7
Chaisa,C Scheme,"CAFÉ, Quick Bites ","Cafe, Fast Food, Italian, Beverages",500,no,no,yes,3.4
Chaisa,Lal Kothi,"CAFÉ, Quick Bites ","Cafe, Fast Food, Italian, Beverages",500,no,no,yes,4.4
Chakachak Fast Food And Juice Center,Pink City,"Beverage Shop, Quick Bites ","Street Food, Beverages",200,no,no,yes,3.3
Chakh Le Restaurant,Sitapur,Quick Bites ,"North Indian, Chinese",500,no,no,yes,3.3
Chaman Da Dhaba,Gopalpura,Quick Bites ,"North Indian, Fast Food, Chinese",300,yes,no,yes,4.1
Chanakya Restaurant,Chitrakoot,Casual Dining ,"North Indian, Chinese",800,yes,no,yes,3.1
Chao Chinese Bistro - Holiday Inn Jaipur City Centre,Bais Godam,Fine Dining ,"Chinese, Asian, Thai","1,500",no,yes,yes,4.4
Chaska Lag Jayega,Raja Park,Quick Bites ,"Fast Food, Beverages",150,yes,no,yes,3.9
Chaska Veg and Non Veg Point,Pratap Nagar,Quick Bites ,North Indian,500,no,no,yes,3.4
Chatkara,Ajmer Highway,Quick Bites ,North Indian,400,no,no,yes,3.0
Chatkara Dhaba,Malviya Nagar,Quick Bites ,North Indian,400,yes,no,yes,3.6
Chatkara Fast Food,Brahmpuri,Quick Bites ,"Chinese, South Indian, Fast Food",300,yes,no,yes,3.5
Chatpata Corner,Sodala,Quick Bites ,"South Indian, North Indian, Chinese, Rajasthani, Fast Food",450,yes,no,yes,3.8
Chawla Dillivala,Mansarovar,Casual Dining ,"North Indian, Chinese, Fast Food",650,no,no,yes,2.9
Chawla Pack & Carry,Malviya Nagar,Quick Bites ,North Indian,450,no,no,yes,3.4
Chawlas Family Restaurant,Durgapura,Casual Dining ,"North Indian, Mughlai, Chinese",650,no,no,yes,3.3
Chawla's Family Restaurant,Raja Park,Casual Dining ,"North Indian, Chinese, Mughlai",850,no,no,yes,2.7
Chawla's Restaurant,C Scheme,Casual Dining ,"North Indian, Chinese","1,200",no,no,yes,4.2
Chawla's Restaurant,Sodala,Casual Dining ,"North Indian, Chinese",550,no,no,yes,3.8
Chawla's Snacks & Sweets,Raja Park,Quick Bites ,"Mithai, North Indian, Fast Food, Street Food",350,yes,no,yes,2.2
Cheelgadi Veg Restaurant,Durgapura,Casual Dining ,"North Indian, South Indian, Chinese, Italian",900,yes,no,yes,3.9
Cheers & Chicken,Mansarovar,Casual Dining ,"North Indian, Chinese, Rolls",750,no,no,yes,2.6
Chef Box,Shyam Nagar,CAFÉ ,"Continental, Italian, Mexican, Chinese",500,yes,no,yes,4.0
Chef Da Bawarchi Restaurant,Vaishali Nagar,Casual Dining ,"North Indian, Chinese, South Indian, Fast Food",500,yes,no,yes,3.8
Chhabra's Pure Veg,Shyam Nagar,Casual Dining ,"North Indian, South Indian, Chinese",650,yes,no,yes,4.2
Chhabra's Pure Veg,Sodala,Quick Bites ,North Indian,300,yes,no,yes,4.0
Chhabra's Pure Veg,Malviya Nagar,Casual Dining ,North Indian,450,yes,no,yes,4.2
Chhabra's Pure Veg,Malviya Nagar,Quick Bites ,North Indian,450,no,no,yes,3.9
Chhabras Take Away,Malviya Nagar,Quick Bites ,"North Indian, Fast Food",400,yes,no,yes,2.9
Chick - Inn Hut,Raja Park,Quick Bites ,North Indian,400,no,no,yes,3.8
Chicken Chaska,Gopalpura,Quick Bites ,North Indian,450,no,no,yes,3.7
Chicken Chatkara,Malviya Nagar,Quick Bites ,"North Indian, Mughlai",350,no,no,yes,3.8
Chicken Chatkara,Raja Park,Quick Bites ,"North Indian, Mughlai",350,no,no,yes,3.4
Chicken Chatkara Corner,Malviya Nagar,Quick Bites ,North Indian,400,no,no,yes,3.4
Chicken Chowk,Mansarovar,Quick Bites ,North Indian,400,no,no,yes,3.8
Chicken Darbar,Bais Godam,Quick Bites ,"North Indian, Chinese",450,no,no,yes,3.4
Chicken Xperience By Venky's,Mansarovar,Quick Bites ,"Burger, Fast Food",400,no,no,yes,3.3
Chickenlicious,Vaishali Nagar,Quick Bites ,"Chinese, Fast Food, South Indian, North Indian",600,no,no,yes,3.3
Chickenlicious,Malviya Nagar,Casual Dining ,"Chinese, Fast Food, South Indian, North Indian",600,no,no,yes,3.9
Chik-Inn,Tonk Phatak,Quick Bites ,"Mughlai, North Indian",350,no,no,yes,3.2
China Town,Malviya Nagar,Quick Bites ,"Chinese, North Indian, Pizza, Rolls",600,no,no,yes,3.5
China Town,Mansarovar,Quick Bites ,"Chinese, North Indian",450,no,no,yes,3.0
Chinese Hunger Adda,Pratap Nagar,Quick Bites ,Chinese,400,no,no,yes,3.2
Chinese O Clock,Raja Park,Quick Bites ,"Chinese, Fast Food",400,no,no,yes,3.5
Chocs N Chillies,Malviya Nagar,Quick Bites ,North Indian,350,yes,no,yes,3.6
Chokhi Handi,Bais Godam,Quick Bites ,North Indian,300,no,no,yes,3.4
Chool,C Scheme,CAFÉ ,"Cafe, North Indian, Fast Food, South Indian","1,000",yes,no,yes,4.7
