POIs,LATITUDE,LONGITUDE,image_path,INFO,PRIORITY_1,PRIORITY_2,Combined_Priorities
BAPU BAZAAR,26.9163509,75.823275,./static/images/hotel_images/BAPU BAZAAR.jpg,"Bapu Bazaar is another bustling market in Jaipur, famous for its diverse shopping options. You can explore traditional textiles, clothing, handicrafts, and souvenirs. It's a great place to experience the local shopping scene.",Food and Drinks,Shopping,Food and Drinks Shopping
WORLD TRADE PARK,26.853021,75.8046688,./static/images/hotel_images/WORLD TRADE PARK.jpg,"World Trade Park is a modern shopping and business complex in Jaipur. It's known for its contemporary architecture and a wide range of retail stores, restaurants, and entertainment options. The shopping mall is a popular destination for both locals and tourists.",Shopping,-,Shopping -
GARH GANESH MANDIR,26.9450247,75.8281577,./static/images/hotel_images/GARH GANESH MANDIR.jpg,"Garh Ganesh Mandir is a revered temple in Jaipur dedicated to Lord Ganesha. It is situated on the Aravalli Hills, offering panoramic views of the city. The temple holds cultural and religious significance for the local community.",Religious,Scenic,Religious Scenic
MUKESH ART GALLERY,26.8466204,75.8047652,./static/images/hotel_images/MUKESH ART GALLERY.jpg,"Mukesh Art Gallery is a renowned art gallery in Jaipur, showcasing a diverse collection of contemporary and traditional Indian art. It's an excellent place for art enthusiasts to appreciate and purchase artworks.",Museum,-,Museum -
ANGEL RESORT AND AMUSEMENT WATERPARK,27.066656,75.75224,./static/images/hotel_images/ANGEL RESORT AND AMUSEMENT WATERPARK.jpg,"Angel Resort and Amusement Waterpark is a recreational destination in Jaipur, providing a variety of fun activities and water attractions. It's a great place for families and friends to enjoy a day of leisure and amusement.",Adventure,-,Adventure -
B M BIRLA AUDITORIUM,26.9060123,75.80631265,./static/images/hotel_images/B M BIRLA AUDITORIUM.jpg,"The B M Birla Auditorium is a prominent cultural and convention center in Jaipur. It hosts a wide range of events, including concerts, seminars, and cultural performances. The auditorium is known for its modern amenities and versatile spaces.",Shows and Concerts,Local Experiences,Shows and Concerts Local Experiences
"KHOLE KE HANUMAN JI TEMPLE, JAIPUR",26.9341049,75.8539884,"./static/images/hotel_images/KHOLE KE HANUMAN JI TEMPLE, JAIPUR.jpg","Khole Ke Hanuman Ji Temple is a revered Hindu temple dedicated to Lord Hanuman. It's located in a cave on the outskirts of Jaipur and is known for its tranquil and spiritual ambiance, making it a popular place for devotees.",Religious,Scenic,Religious Scenic
SKYFUT,26.909931,75.78084,./static/images/hotel_images/SKYFUT.jpg,"Skyfut is a unique adventure sports facility in Jaipur, offering thrilling activities like zip-lining and high ropes courses. It's an excellent place for adventure enthusiasts and those looking for an adrenaline rush.",Adventure,Shopping,Adventure Shopping
GATORE KI CHHATRI JAIPUR,26.9337504,75.82105395,./static/images/hotel_images/GATORE KI CHHATRI JAIPUR.jpg,"Gatore Ki Chhatri is a royal cenotaph complex in Jaipur, dedicated to the memory of the Kachwaha rulers of Jaipur. It's known for its stunning marble architecture and intricate carvings, making it a historical and architectural gem.",History and Culture,Scenic,History and Culture Scenic
RUSIRANI VILLAGE JAIPUR,26.9110091,75.7779724,./static/images/hotel_images/RUSIRANI VILLAGE JAIPUR.jpg,"Rusirani Village is an immersive cultural experience destination near Jaipur. Visitors can explore traditional Rajasthani village life, enjoy local cuisine, and participate in various cultural activities, providing an authentic rural Rajasthan experience.",Local Experiences,History and Culture,Local Experiences History and Culture
DEER PARK JAIPUR,26.913232,75.8030448,./static/images/hotel_images/DEER PARK JAIPUR.jpg,The Deer Park in Jaipur is a serene green space where you can spot deer and other wildlife. It's a peaceful escape from the city's hustle and bustle and is an excellent place for nature lovers and picnickers.,Scenic,Adventure,Scenic Adventure
RAMGARH LAKE,27.04769955,76.0556,./static/images/hotel_images/RAMGARH LAKE.jpg,"Ramgarh Lake is a beautiful artificial lake located near Jaipur. It is a serene and picturesque spot surrounded by lush landscapes. Visitors can enjoy boating, picnicking, and bird watching in this tranquil setting.",Scenic,Adventure,Scenic Adventure
ST ANDREWS CHURCH JAIPUR,26.9269102,75.8072677,./static/images/hotel_images/ST ANDREWS CHURCH JAIPUR.jpg,"St. Andrew's Church is a historic Anglican church in Jaipur, known for its impressive neo-Gothic architecture. It's a place of worship and also a fine example of colonial-era architectural heritage in the city.",Religious,-,Religious -
JAMVA RAMGARH WILDLIFE SANCTUARY,26.95351305,75.93072115,./static/images/hotel_images/JAMVA RAMGARH WILDLIFE SANCTUARY.jpg,"The Jamva Ramgarh Wildlife Sanctuary is situated in the Aravalli Range near Jaipur. It's home to a variety of wildlife, including leopards, sloth bears, and a range of bird species. The sanctuary is ideal for nature enthusiasts and wildlife photographers.",Adventure,-,Adventure -
JWALA MATA MANDIR JAIPUR,26.89152115,75.78917535,./static/images/hotel_images/JWALA MATA MANDIR JAIPUR.jpg,"Jwala Mata Mandir is a revered Hindu temple in Jaipur dedicated to the goddess Jwala. It's known for its religious significance and a serene atmosphere, attracting devotees and visitors seeking spiritual solace.",Religious,-,Religious -
JAMWAY MATA MANDIR,27.0382937,76.0628058,./static/images/hotel_images/JAMWAY MATA MANDIR.jpg,"The Jamway Mata Mandir is another Hindu temple in Jaipur, dedicated to the goddess Jamway. It's a place of worship and reflection, featuring religious rituals and a tranquil environment.",Religious,-,Religious -
LAXMI NARAYAN TEMPLE JAIPUR,26.9295055,75.80359195,./static/images/hotel_images/LAXMI NARAYAN TEMPLE JAIPUR.jpg,"Laxmi Narayan Temple, also known as Birla Mandir, is a magnificent white marble Hindu temple dedicated to Lord Vishnu and Goddess Lakshmi. It's renowned for its intricate carvings and peaceful surroundings, making it a popular place for worship and contemplation.",Religious,Scenic,Religious Scenic
DARGAH BURHANUDDIN BABA JAIPUR,27.011922,75.8725363,./static/images/hotel_images/DARGAH BURHANUDDIN BABA JAIPUR.jpg,"Dargah Burhanuddin Baba is a revered Sufi shrine in Jaipur, dedicated to a Sufi saint. It is a place of pilgrimage for followers of Sufism and those seeking spiritual guidance.",Religious,-,Religious -
KULISH SMIRITI VAN JAIPUR,26.8736247,75.8119935,./static/images/hotel_images/KULISH SMIRITI VAN JAIPUR.jpg,"Kulish Smriti Van is a serene park and garden dedicated to the memory of Shri Daulatram Ji Kulish, a prominent Indian journalist and environmentalist. The park features lush greenery and sculptures, providing a peaceful retreat for visitors.",Scenic,-,Scenic -
DHAMMA THALI VIPASSANA MEDITATION CENTRE,26.9189373,75.8676043,./static/images/hotel_images/DHAMMA THALI VIPASSANA MEDITATION CENTRE.jpg,"Dhamma Thali is a Vipassana meditation center in Jaipur, offering courses in the ancient technique of Vipassana meditation. It provides individuals with an opportunity for self-reflection and inner peace through meditation and mindfulness.",Religious,-,Religious -
CHANDLAI LAKE,26.69487705,75.87864155,./static/images/hotel_images/CHANDLAI LAKE.jpg,"Chandlai Lake is a scenic and tranquil lake located near Jaipur. It is a popular spot for birdwatching, particularly during the winter season when migratory birds visit the area. The lake provides a peaceful and natural setting for nature enthusiasts.",Scenic,-,Scenic -
SHRI GOPINATH TEMPLE JAIPUR,26.9245015,75.8191625,./static/images/hotel_images/SHRI GOPINATH TEMPLE JAIPUR.jpg,Shri Gopinath Temple is a Hindu temple dedicated to Lord Krishna and is known for its religious significance. It's a serene place for devotees to worship and seek blessings.,Religious,-,Religious -
DOLLS MUSEUM,26.9002912,75.8171418,./static/images/hotel_images/DOLLS MUSEUM.jpg,The Dolls Museum in Jaipur is a unique museum featuring a vast collection of dolls from different countries and cultures. It's an interesting and educational place to explore the diversity of global traditions and artistry.,Museum,-,Museum -
PEACOCK GARDEN JAIPUR,26.92700575,75.7821514,./static/images/hotel_images/PEACOCK GARDEN JAIPUR.jpg,"The Peacock Garden is a lush and well-maintained garden in Jaipur. It's named after the national bird of India, the peacock, and offers a tranquil setting for a leisurely stroll and relaxation amidst nature.",Scenic,-,Scenic -
ELEMENTS SHOPPING JAIPUR,26.8953422,75.7485232,./static/images/hotel_images/ELEMENTS SHOPPING JAIPUR.jpg,"Elements Shopping is a popular shopping destination in Jaipur, offering a wide range of retail stores, boutiques, and dining options. It's a place to shop for fashion, accessories, and more in a modern shopping environment.",Shopping,Shows and Concerts,Shopping Shows and Concerts
CRYSTAL MALL JAIPUR,26.923128,75.7927865,./static/images/hotel_images/CRYSTAL MALL JAIPUR.jpg,"Crystal Mall is a contemporary shopping mall in Jaipur, featuring various retail outlets, entertainment options, and dining choices. It's a modern shopping destination for those looking for retail therapy and a vibrant shopping experience.",Shopping,-,Shopping -
HANDICRAFT HAVELI JAIPUR,26.9545345,75.84163415,./static/images/hotel_images/HANDICRAFT HAVELI JAIPUR.jpg,"Handicraft Haveli is a place where you can explore and shop for a wide variety of traditional Rajasthani handicrafts, textiles, and artwork. It's a great place to appreciate and purchase authentic local crafts.",Local Experiences,-,Local Experiences -
SUNRISE DREAM WORLD AMUSEMENT PARK,27.1439955,75.8720071,./static/images/hotel_images/SUNRISE DREAM WORLD AMUSEMENT PARK.jpg,"Sunrise Dream World Amusement Park is an entertainment destination near Jaipur, offering a range of thrilling rides, water activities, and amusements. It's a fun-filled place for families and friends to enjoy a day of excitement.",Adventure,-,Adventure -
BRETHREN CHURCH JAIPUR,26.9010658,75.76224615,./static/images/hotel_images/BRETHREN CHURCH JAIPUR.jpg,The Brethren Church is a Christian place of worship in Jaipur. It provides a spiritual gathering place for the Christian community and is known for its simple and peaceful atmosphere.,Religious,-,Religious -
MI ROAD,26.9167265,75.8129462,./static/images/hotel_images/MI ROAD.jpg,"MI Road, or Mirza Ismail Road, is one of the main thoroughfares in Jaipur and a popular shopping district. It's lined with shops, restaurants, and boutiques, making it an ideal place for shopping, dining, and experiencing the local culture.",Shopping,Food and Drinks,Shopping Food and Drinks
BHANGARH FORT,27.0726761,76.0266908,./static/images/hotel_images/BHANGARH FORT.jpg,"Bhangarh Fort is a historical site located in the Alwar district, near Jaipur. It is known for its haunted and mysterious reputation. The fort is a popular tourist destination and offers a glimpse into Rajasthan's past",Adventure,Scenic,Adventure Scenic
SKY WALTZ BALLOON SAFARI,26.94845,75.8405217,./static/images/hotel_images/SKY WALTZ BALLOON SAFARI.jpg,"Sky Waltz Balloon Safari in Jaipur offers a memorable hot air balloon adventure that lets you glide over the picturesque landscapes of Rajasthan. Soar above Jaipur and the Aravalli hills for a unique, bird's-eye view of the region's beauty and historical landmarks.",Adventure,Scenic,Adventure Scenic
